iter	RMSE
0	8.678275703
1	8.006391528
2	7.420728777
3	6.91699226
4	6.478310051
5	6.104261186
6	5.781797201
7	5.511209443
8	5.28149791
9	5.089732115
10	4.930333801
11	4.796300527
12	4.685528904
13	4.593690345
14	4.519763902
15	4.458312528
16	4.408164058
17	4.366612052
18	4.33373645
19	4.306594189
20	4.284087549
21	4.265630922
22	4.250913788
23	4.239072472
24	4.22952065
25	4.221399134
26	4.215087243
27	4.209433018
28	4.205161657
29	4.20176975
30	4.198742941
31	4.196538692
32	4.194438602
33	4.192793002
34	4.191475541
35	4.190342353
36	4.189353102
37	4.188703629
38	4.187987988
39	4.187471618
40	4.187058039
41	4.186637717
42	4.186352443
43	4.185982218
44	4.185704323
45	4.185529587
46	4.185335669
47	4.185202299
48	4.185029834
49	4.184894079
50	4.184766007
51	4.184646104
52	4.184510699
53	4.184399098
54	4.184343271
55	4.184254301
56	4.184189602
57	4.184056119
58	4.183977332
59	4.183898894
60	4.183797321
61	4.183681969
62	4.183627692
63	4.183547524
64	4.183503038
65	4.183430369
66	4.183357346
67	4.18330635
68	4.183215096
69	4.183150754
70	4.183100204
71	4.183025123
72	4.182972074
73	4.182891506
74	4.182789138
75	4.182728248
76	4.182649997
77	4.182599176
78	4.182535115
79	4.18245964
80	4.182361355
81	4.182308496
82	4.182284605
83	4.182209737
84	4.182130603
85	4.182081267
86	4.18199293
87	4.18194384
88	4.181886217
89	4.181809142
90	4.181767477
91	4.181687071
92	4.181570221
93	4.181539206
94	4.181469168
95	4.181421821
96	4.181329858
97	4.181269018
98	4.181168282
99	4.181095042
100	4.181038215
101	4.180968257
102	4.180916153
103	4.18086165
104	4.180808743
105	4.180741919
106	4.180681845
107	4.180621404
108	4.180541517
109	4.180497209
110	4.180424473
111	4.18037215
112	4.18025849
113	4.180222896
114	4.180049518
115	4.179998749
116	4.179926576
117	4.179825163
118	4.179735754
119	4.179694739
120	4.179601662
121	4.179548938
122	4.179472546
123	4.17939143
124	4.179309769
125	4.179226291
126	4.179176632
127	4.179100521
128	4.17902745
129	4.178972892
130	4.178918313
131	4.178837248
132	4.178773145
133	4.178698557
134	4.1786476
135	4.17858256
136	4.17849563
137	4.178442412
138	4.178377133
139	4.178320534
140	4.178248501
141	4.178202444
142	4.178143188
143	4.178081233
144	4.17801631
145	4.177950683
146	4.177865485
147	4.177739768
148	4.177697802
149	4.177619272
150	4.177579709
151	4.177525884
152	4.177468688
153	4.177423663
154	4.177385702
155	4.177318129
156	4.177266229
157	4.177215517
158	4.177148593
159	4.177075856
160	4.177022749
161	4.176957817
162	4.176911624
163	4.176855978
164	4.176817996
165	4.17676275
166	4.176682955
167	4.176606335
168	4.17654106
169	4.176478067
170	4.176380354
171	4.176327193
172	4.176273193
173	4.176191716
174	4.176125878
175	4.176059537
176	4.176003538
177	4.175952125
178	4.17589555
179	4.175810148
180	4.175753629
181	4.175709154
182	4.175627943
183	4.175573294
184	4.175508967
185	4.175445942
186	4.1753927
187	4.175356227
188	4.175324071
189	4.175244749
190	4.175180153
191	4.17510904
192	4.17505137
193	4.175000644
194	4.174943702
195	4.174876817
196	4.174822391
197	4.174774076
198	4.174719989
199	4.174674883
200	4.174634625
201	4.174571899
202	4.174521936
203	4.174494127
204	4.174445688
205	4.174378174
206	4.174343437
207	4.174251531
208	4.174184219
209	4.174130996
210	4.174083854
211	4.174050017
212	4.174018667
213	4.173944945
214	4.173877564
215	4.173824756
216	4.173765292
217	4.173704595
218	4.173648231
219	4.173599717
220	4.173529428
221	4.173469598
222	4.173341575
223	4.1732724
224	4.173240213
225	4.173189619
226	4.173164269
227	4.173107981
228	4.173060942
229	4.173019337
230	4.172977976
231	4.172924225
232	4.172875148
233	4.172821204
234	4.172767145
235	4.172713629
236	4.172636527
237	4.172602907
238	4.17254774
239	4.172476642
240	4.172423675
241	4.172387206
242	4.172340209
243	4.172296319
244	4.172244772
245	4.172192224
246	4.17211222
247	4.172079746
248	4.172026091
249	4.171974544
250	4.171876845
251	4.171818109
252	4.17177146
253	4.171727835
254	4.171674224
255	4.171639745
256	4.171574892
257	4.171517378
258	4.171459772
259	4.17140975
260	4.17136732
261	4.171325609
262	4.171287629
263	4.171263373
264	4.17118707
265	4.171146513
266	4.171098858
267	4.171061466
268	4.17101913
269	4.170958786
270	4.170927471
271	4.170865465
272	4.170810572
273	4.170763895
274	4.170677647
275	4.170640847
276	4.170591186
277	4.170523636
278	4.170468556
279	4.170424324
280	4.170381903
281	4.170347856
282	4.170270145
283	4.170213715
284	4.170165402
285	4.170124523
286	4.170043147
287	4.169990451
288	4.169947539
289	4.169874724
290	4.169826819
291	4.169753067
292	4.16970615
293	4.169633792
294	4.169600237
295	4.169555596
296	4.169474676
