iter	Passed	Remaining
0	48	48236
1	91	45706
2	127	42531
3	174	43507
4	211	41995
5	245	40732
6	282	40028
7	318	39448
8	357	39415
9	396	39277
10	432	38881
11	466	38412
12	505	38361
13	540	38099
14	576	37850
15	612	37658
16	645	37298
17	679	37071
18	713	36860
19	748	36685
20	784	36589
21	822	36542
22	854	36304
23	888	36138
24	927	36165
25	963	36107
26	997	35958
27	1040	36114
28	1074	35992
29	1112	35955
30	1145	35821
31	1181	35755
32	1217	35680
33	1255	35666
34	1288	35533
35	1323	35450
36	1357	35322
37	1400	35461
38	1433	35324
39	1472	35330
40	1509	35305
41	1544	35228
42	1581	35201
43	1616	35122
44	1651	35054
45	1692	35096
46	1725	34985
47	1758	34868
48	1792	34785
49	1831	34804
50	1862	34655
51	1903	34697
52	1937	34619
53	1970	34519
54	2003	34415
55	2037	34350
56	2069	34234
57	2104	34183
58	2137	34097
59	2171	34013
60	2201	33894
61	2237	33855
62	2271	33782
63	2311	33798
64	2344	33730
65	2377	33649
66	2409	33555
67	2442	33478
68	2473	33371
69	2505	33289
70	2540	33234
71	2574	33185
72	2610	33144
73	2650	33169
74	2683	33097
75	2720	33077
76	2754	33014
77	2786	32938
78	2821	32892
79	2853	32813
80	2886	32746
81	2924	32743
82	2959	32697
83	2998	32702
84	3037	32701
85	3070	32632
86	3108	32620
87	3147	32621
88	3182	32574
89	3217	32537
90	3252	32490
91	3289	32462
92	3328	32461
93	3364	32427
94	3402	32413
95	3435	32350
96	3471	32313
97	3505	32265
98	3541	32232
99	3578	32203
100	3613	32161
101	3649	32133
102	3683	32082
103	3716	32015
104	3750	31967
105	3786	31935
106	3820	31889
107	3854	31836
108	3888	31789
109	3922	31734
110	3959	31713
111	4001	31726
112	4041	31720
113	4076	31682
114	4113	31654
115	4148	31612
116	4182	31562
117	4218	31531
118	4252	31484
119	4287	31442
120	4325	31421
121	4359	31376
122	4391	31315
123	4429	31292
124	4463	31246
125	4500	31216
126	4531	31150
127	4566	31109
128	4607	31107
129	4643	31075
130	4679	31043
131	4714	30999
132	4747	30944
133	4786	30933
134	4821	30890
135	4859	30871
136	4895	30839
137	4931	30805
138	4963	30743
139	5007	30760
140	5043	30723
141	5077	30681
142	5110	30625
143	5142	30571
144	5173	30507
145	5206	30452
146	5239	30405
147	5272	30350
148	5304	30293
149	5335	30232
150	5366	30174
151	5403	30145
152	5438	30109
153	5472	30065
154	5506	30017
155	5541	29979
156	5575	29935
157	5605	29869
158	5642	29844
159	5679	29819
160	5711	29765
161	5745	29722
162	5781	29685
163	5815	29642
164	5849	29600
165	5885	29568
166	5924	29553
167	5956	29498
168	5995	29479
169	6026	29425
170	6061	29385
171	6095	29345
172	6130	29306
173	6168	29281
174	6203	29244
175	6235	29195
176	6269	29150
177	6306	29123
178	6339	29077
179	6374	29041
180	6407	28990
181	6438	28938
182	6471	28889
183	6508	28865
184	6544	28829
185	6579	28794
186	6616	28767
187	6648	28717
188	6680	28664
189	6716	28632
190	6748	28584
191	6785	28554
192	6817	28507
193	6852	28470
194	6888	28437
195	6925	28408
196	6963	28383
197	7000	28354
198	7033	28310
199	7064	28259
200	7094	28201
201	7132	28177
202	7164	28128
203	7195	28077
204	7233	28051
205	7267	28012
206	7304	27981
207	7344	27963
208	7379	27930
209	7413	27887
210	7448	27853
211	7482	27810
212	7516	27772
213	7551	27734
214	7588	27705
215	7620	27660
216	7653	27616
217	7688	27578
218	7724	27546
219	7761	27519
220	7802	27502
221	7836	27461
222	7871	27426
223	7905	27387
224	7940	27351
225	7979	27326
226	8011	27281
227	8047	27249
228	8081	27209
229	8114	27167
230	8149	27128
231	8185	27096
232	8216	27048
233	8250	27007
234	8283	26966
235	8316	26921
236	8352	26890
237	8388	26856
238	8421	26815
239	8455	26777
240	8496	26759
241	8525	26703
242	8555	26651
243	8590	26614
244	8623	26575
245	8659	26541
246	8696	26511
247	8729	26471
248	8766	26440
249	8802	26408
250	8839	26376
251	8871	26332
252	8906	26298
253	8950	26287
254	8983	26246
255	9018	26210
256	9056	26182
257	9092	26150
258	9126	26111
259	9163	26079
260	9194	26034
261	9230	25999
262	9269	25976
263	9302	25933
264	9338	25900
265	9372	25861
266	9406	25824
267	9442	25789
268	9478	25757
269	9512	25718
270	9545	25677
271	9584	25653
272	9625	25631
273	9661	25599
274	9695	25560
275	9727	25518
276	9760	25474
277	9796	25442
278	9830	25404
279	9868	25376
280	9904	25343
281	9944	25320
282	9978	25280
283	10010	25237
284	10044	25198
285	10081	25167
286	10116	25132
287	10151	25095
288	10184	25055
289	10223	25030
290	10256	24989
291	10293	24957
292	10328	24921
293	10362	24883
294	10392	24836
295	10427	24801
296	10464	24770
297	10500	24735
298	10537	24705
299	10571	24666
300	10602	24622
301	10638	24589
302	10678	24563
303	10717	24537
304	10749	24494
305	10782	24454
306	10819	24423
307	10851	24381
308	10885	24341
309	10925	24317
310	10958	24278
311	10995	24247
312	11033	24217
313	11068	24182
314	11104	24147
315	11140	24115
316	11173	24075
317	11209	24041
318	11246	24009
319	11284	23978
320	11321	23948
321	11359	23918
322	11396	23886
323	11435	23858
324	11467	23817
325	11503	23783
326	11544	23760
327	11582	23730
328	11617	23693
329	11651	23656
330	11688	23623
331	11721	23584
332	11757	23550
333	11797	23523
334	11828	23480
335	11863	23444
336	11901	23414
337	11941	23387
338	11973	23347
339	12009	23312
340	12044	23276
341	12079	23240
342	12110	23196
343	12141	23153
344	12175	23116
345	12211	23081
346	12244	23043
347	12277	23003
348	12312	22967
349	12348	22932
350	12386	22902
351	12421	22866
352	12454	22827
353	12489	22790
354	12521	22751
355	12557	22716
356	12593	22682
357	12629	22647
358	12664	22612
359	12700	22579
360	12734	22541
361	12764	22496
362	12795	22453
363	12835	22426
364	12869	22388
365	12910	22363
366	12945	22328
367	12978	22289
368	13013	22253
369	13051	22222
370	13085	22184
371	13117	22144
372	13150	22105
373	13182	22064
374	13215	22025
375	13252	21993
376	13285	21954
377	13318	21915
378	13352	21877
379	13384	21837
380	13420	21804
381	13458	21773
382	13491	21733
383	13522	21692
384	13555	21653
385	13591	21618
386	13623	21579
387	13656	21540
388	13692	21507
389	13726	21469
390	13759	21431
391	13791	21390
392	13826	21354
393	13862	21322
394	13902	21293
395	13934	21252
396	13970	21219
397	14005	21184
398	14043	21153
399	14080	21120
400	14113	21082
401	14143	21039
402	14180	21006
403	14218	20976
404	14252	20938
405	14288	20904
406	14324	20871
407	14359	20835
408	14392	20797
409	14425	20759
410	14457	20718
411	14493	20684
412	14526	20646
413	14559	20608
414	14595	20574
415	14631	20539
416	14665	20503
417	14701	20470
418	14736	20433
419	14771	20399
420	14803	20359
421	14838	20324
422	14875	20291
423	14914	20261
424	14950	20227
425	14986	20193
426	15025	20162
427	15061	20129
428	15094	20090
429	15131	20058
430	15167	20023
431	15206	19993
432	15239	19956
433	15273	19918
434	15304	19878
435	15342	19846
436	15377	19811
437	15410	19773
438	15446	19739
439	15483	19706
440	15518	19671
441	15558	19642
442	15592	19604
443	15625	19567
444	15660	19532
445	15696	19497
446	15730	19460
447	15766	19426
448	15805	19395
449	15846	19368
450	15886	19338
451	15922	19304
452	15957	19268
453	15991	19231
454	16022	19191
455	16054	19153
456	16092	19120
457	16126	19084
458	16158	19045
459	16196	19012
460	16234	18981
461	16268	18944
462	16303	18909
463	16338	18874
464	16372	18837
465	16408	18802
466	16445	18769
467	16475	18728
468	16508	18691
469	16545	18658
470	16581	18623
471	16620	18592
472	16657	18559
473	16693	18524
474	16725	18486
475	16760	18450
476	16793	18412
477	16830	18379
478	16869	18348
479	16903	18312
480	16939	18278
481	16982	18251
482	17016	18214
483	17050	18177
484	17086	18143
485	17121	18108
486	17157	18073
487	17190	18036
488	17224	17999
489	17261	17965
490	17292	17926
491	17327	17890
492	17362	17855
493	17399	17822
494	17433	17785
495	17466	17748
496	17501	17712
497	17539	17680
498	17571	17642
499	17605	17605
500	17641	17570
501	17679	17538
502	17712	17501
503	17744	17463
504	17779	17427
505	17813	17390
506	17856	17363
507	17895	17331
508	17928	17294
509	17965	17260
510	18008	17232
511	18042	17196
512	18075	17159
513	18109	17123
514	18146	17089
515	18180	17052
516	18215	17017
517	18250	16982
518	18285	16946
519	18323	16914
520	18358	16878
521	18391	16841
522	18427	16806
523	18458	16767
524	18491	16730
525	18527	16695
526	18566	16663
527	18602	16629
528	18638	16594
529	18673	16559
530	18707	16522
531	18743	16488
532	18780	16454
533	18816	16420
534	18855	16388
535	18891	16353
536	18928	16319
537	18965	16286
538	19001	16251
539	19033	16213
540	19067	16177
541	19101	16141
542	19141	16109
543	19182	16079
544	19224	16049
545	19257	16012
546	19294	15978
547	19328	15942
548	19363	15906
549	19397	15870
550	19437	15839
551	19471	15802
552	19510	15770
553	19545	15735
554	19579	15698
555	19615	15664
556	19647	15626
557	19680	15589
558	19716	15554
559	19750	15517
560	19787	15484
561	19830	15455
562	19865	15419
563	19899	15383
564	19935	15348
565	19972	15314
566	20007	15278
567	20042	15243
568	20076	15207
569	20111	15171
570	20148	15138
571	20182	15101
572	20216	15065
573	20250	15028
574	20283	14992
575	20320	14958
576	20354	14921
577	20388	14885
578	20424	14851
579	20461	14816
580	20496	14781
581	20532	14746
582	20567	14711
583	20601	14674
584	20635	14638
585	20674	14606
586	20709	14570
587	20745	14535
588	20779	14499
589	20821	14468
590	20857	14434
591	20893	14399
592	20923	14360
593	20957	14324
594	20990	14287
595	21024	14251
596	21058	14215
597	21094	14180
598	21126	14142
599	21163	14109
600	21198	14073
601	21230	14036
602	21268	14002
603	21304	13967
604	21335	13930
