센터명,지역
강릉,강원
삼척,강원
원주,강원
춘천,강원
태백,강원
고양,경기
광주,경기
부천,경기
성남,경기
수원,경기
시흥,경기
안산,경기
양평,경기
오산,경기
의정부,경기
포천,경기
화성,경기
사천,경남
창원,경남
창원마산회원,경남
경산,경북
구미,경북
김천,경북
안동,경북
영주,경북
포항,경북
KSPO광주,광주
KSPO광주(출장),광주
광산,광주
동구(광주),광주
북구(광주),광주
서구(광주),광주
KSPO대구,대구
KSPO대구(출장A),대구
KSPO대구(출장B),대구
달서,대구
서구(대전),대전
남구(부산),부산
동구(부산),대구
북구(부산),대구
사상,대구
사하,대구
스포원(금정),대구
연제,대구
KSPO송파,서울
KSPO송파(출장),서울
KSPO송파(출장A),서울
KSPO송파(출장B),서울
강동,서울
강북,서울
금천,서울
노원,서울
동작,서울
마포,서울
서대문,서울
서초,서울
성동,서울
중구(서울),서울
세종,세종
남구(울산),울산
동구(인천),인천
미추홀,인천
연수,인천
인천동구,인천
곡성,전남
나주,전남
목포,전남
무안,전남
순천,전남
신안,전남
영암,전남
군산,전북
남원,전북
익산,전북
전주,전북
정읍,전북
제주,제주
KSPO아산,충남
KSPO아산(출장),충남
계룡,충남
천안,충남
보은,충북
영동,충남
증평,충남
진천,충남
청주,충남
충주,충남
광명,경기
광양,전남
금산,충남
울진,경북
서귀포,제주
스포원,부산
남양주,경기도
당진,충남
