Entity,Code,Day,containment_index(종합수치),school_closures(학교 폐쇄),workplace_closures(회사 폐쇄),cancel_public_events(공개행사 취소),restriction_gatherings(모임 제한),close_public_transport(대중교통폐쇄),stay_home_requirements(재택 요구),public_information_campaigns(홍보캠페인),restrictions_internal_movements(국내이동제한),international_travel_controls(국제여행제한),testing_policy(코로나 검사 정책),contact_tracing(접촉자 추적),facial_coverings(마스크 착용),vaccination_policy(백신 접종),"retail_and_recreation(식당,카페,쇼핑센터,테마파크,박물관,도서관,영화관 등)",grocery_and_pharmacy(식료품점과 약국),residential(Time spent at home; 집에서 보내기),transit_stations(교통수단),parks(공원),workplaces(Workplace visitors;직장 출근)
South Korea,KOR,20200101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,20200121,2.38,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
South Korea,KOR,20200122,2.38,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
South Korea,KOR,20200123,2.38,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
South Korea,KOR,20200124,2.38,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
South Korea,KOR,20200125,2.38,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
South Korea,KOR,20200126,2.38,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
South Korea,KOR,20200127,2.38,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
South Korea,KOR,20200128,2.38,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
South Korea,KOR,20200129,5.95,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,
South Korea,KOR,20200130,5.95,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,
South Korea,KOR,20200131,7.74,0,0,1,0,0,0,0,0,0,1,1,0,0,,,,,,
South Korea,KOR,20200201,14.88,0,0,1,0,0,0,2,0,0,1,1,0,0,,,,,,
South Korea,KOR,20200202,14.88,0,0,1,0,0,0,2,0,0,1,1,0,0,,,,,,
South Korea,KOR,20200203,20.83,3,0,1,0,0,0,2,0,0,1,1,0,0,,,,,,
South Korea,KOR,20200204,26.19,3,0,1,0,0,0,2,0,3,1,1,0,0,,,,,,
South Korea,KOR,20200205,26.19,3,0,1,0,0,0,2,0,3,1,1,0,0,,,,,,
South Korea,KOR,20200206,26.19,3,0,1,0,0,0,2,0,3,1,1,0,0,,,,,,
South Korea,KOR,20200207,30.95,3,0,1,0,0,0,2,0,3,3,1,0,0,,,,,,
South Korea,KOR,20200208,30.95,3,0,1,0,0,0,2,0,3,3,1,0,0,,,,,,
South Korea,KOR,20200209,30.95,3,0,1,0,0,0,2,0,3,3,1,0,0,,,,,,
South Korea,KOR,20200210,30.95,3,0,1,0,0,0,2,0,3,3,1,0,0,,,,,,
South Korea,KOR,20200211,34.52,3,0,1,0,0,0,2,0,3,3,2,0,0,,,,,,
South Korea,KOR,20200212,34.52,3,0,1,0,0,0,2,0,3,3,2,0,0,,,,,,
South Korea,KOR,20200213,34.52,3,0,1,0,0,0,2,0,3,3,2,0,0,,,,,,
South Korea,KOR,20200214,34.52,3,0,1,0,0,0,2,0,3,3,2,0,0,,,,,,
South Korea,KOR,20200215,34.52,3,0,1,0,0,0,2,0,3,3,2,0,0,,,,,,
South Korea,KOR,20200216,34.52,3,0,1,0,0,0,2,0,3,3,2,0,0,,,,,,
South Korea,KOR,20200217,34.52,3,0,1,0,0,0,2,0,3,3,2,0,0,-7.333,-2,4,-9,-15,-0.667
South Korea,KOR,20200218,34.52,3,0,1,0,0,0,2,0,3,3,2,0,0,-5.75,-2.25,3.5,-7.5,-12.5,0
South Korea,KOR,20200219,34.52,3,0,1,0,0,0,2,0,3,3,2,0,0,-5.6,-2,3.2,-6.8,-7.2,0.2
South Korea,KOR,20200220,34.52,3,0,1,0,0,0,2,0,3,3,2,0,0,-5.833,-2.167,3,-6.667,-4.833,0.333
South Korea,KOR,20200221,43.45,3,0,2,2,0,0,2,0,3,3,2,0,0,-7.143,-2.429,3.286,-7.143,-5.571,0.286
