Entity,Code,Day,containment_index(종합수치),school_closures(학교 폐쇄),workplace_closures(회사 폐쇄),cancel_public_events(공개행사 취소),restriction_gatherings(모임 제한),close_public_transport(대중교통폐쇄),stay_home_requirements(재택 요구),public_information_campaigns(홍보캠페인),restrictions_internal_movements(국내이동제한),international_travel_controls(국제여행제한),testing_policy(코로나 검사 정책),contact_tracing(접촉자 추적),facial_coverings(마스크 착용),vaccination_policy(백신 접종),"retail_and_recreation(식당,카페,쇼핑센터,테마파크,박물관,도서관,영화관 등)",grocery_and_pharmacy(식료품점과 약국),residential(Time spent at home; 집에서 보내기),transit_stations(교통수단),parks(공원),workplaces(Workplace visitors;직장 출근)
South Korea,KOR,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
South Korea,KOR,2020-01-21,2.38,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
South Korea,KOR,2020-01-22,2.38,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
South Korea,KOR,2020-01-23,2.38,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
South Korea,KOR,2020-01-24,2.38,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
South Korea,KOR,2020-01-25,2.38,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
South Korea,KOR,2020-01-26,2.38,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
South Korea,KOR,2020-01-27,2.38,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
South Korea,KOR,2020-01-28,2.38,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
South Korea,KOR,2020-01-29,5.95,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,
South Korea,KOR,2020-01-30,5.95,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,
South Korea,KOR,2020-01-31,7.74,0,0,1,0,0,0,0,0,0,1,1,0,0,,,,,,
South Korea,KOR,2020-02-01,14.88,0,0,1,0,0,0,2,0,0,1,1,0,0,,,,,,
South Korea,KOR,2020-02-02,14.88,0,0,1,0,0,0,2,0,0,1,1,0,0,,,,,,
South Korea,KOR,2020-02-03,20.83,3,0,1,0,0,0,2,0,0,1,1,0,0,,,,,,
South Korea,KOR,2020-02-04,26.19,3,0,1,0,0,0,2,0,3,1,1,0,0,,,,,,
South Korea,KOR,2020-02-05,26.19,3,0,1,0,0,0,2,0,3,1,1,0,0,,,,,,
South Korea,KOR,2020-02-06,26.19,3,0,1,0,0,0,2,0,3,1,1,0,0,,,,,,
South Korea,KOR,2020-02-07,30.95,3,0,1,0,0,0,2,0,3,3,1,0,0,,,,,,
South Korea,KOR,2020-02-08,30.95,3,0,1,0,0,0,2,0,3,3,1,0,0,,,,,,
South Korea,KOR,2020-02-09,30.95,3,0,1,0,0,0,2,0,3,3,1,0,0,,,,,,
South Korea,KOR,2020-02-10,30.95,3,0,1,0,0,0,2,0,3,3,1,0,0,,,,,,
South Korea,KOR,2020-02-11,34.52,3,0,1,0,0,0,2,0,3,3,2,0,0,,,,,,
South Korea,KOR,2020-02-12,34.52,3,0,1,0,0,0,2,0,3,3,2,0,0,,,,,,
South Korea,KOR,2020-02-13,34.52,3,0,1,0,0,0,2,0,3,3,2,0,0,,,,,,
South Korea,KOR,2020-02-14,34.52,3,0,1,0,0,0,2,0,3,3,2,0,0,,,,,,
South Korea,KOR,2020-02-15,34.52,3,0,1,0,0,0,2,0,3,3,2,0,0,,,,,,
South Korea,KOR,2020-02-16,34.52,3,0,1,0,0,0,2,0,3,3,2,0,0,,,,,,
South Korea,KOR,2020-02-17,34.52,3,0,1,0,0,0,2,0,3,3,2,0,0,-7.333,-2,4,-9,-15,-0.667
South Korea,KOR,2020-02-18,34.52,3,0,1,0,0,0,2,0,3,3,2,0,0,-5.75,-2.25,3.5,-7.5,-12.5,0
South Korea,KOR,2020-02-19,34.52,3,0,1,0,0,0,2,0,3,3,2,0,0,-5.6,-2,3.2,-6.8,-7.2,0.2
