seoLvl,jebLvl,gygRmk,ulsLvl,gsbLvl,gsnLvl,gwaLvl,dagRmk,incLvl,ccbLvl,busRmk,dagLvl,gawLvl,sejLvl,jebRmk,jenRmk,gwaRmk,gawRmk,ccnLvl,busLvl,jejRmk,gsnRmk,sejRmk,jenLvl,dajRmk,socdisLvl,gygLvl,jejLvl,seoRmk,ccnRmk,stdDay,dajLvl,ulsRmk,incRmk,ccbRmk,gsbRmk
2.5,2.0,null,2.0,2.0,2.0,2.0,null,2.5,2.0,null,2.0,2.0,2.0,null,null,null,null,2.0,2.0,null,"경남일부지역2단계
거제시2.5단계",null,2.0,null,5단계,2.5,2.0,null,null,2020-12-08,2.0,null,null,null,경북일부지역2단계
2.5,2.0,null,2.0,2.0,2.0,2.0,null,2.5,2.0,null,2.0,2.0,2.0,null,null,null,null,2.0,2.0,null,"경남일부지역2단계
거제시2.5단계",null,2.0,null,5단계,2.5,2.0,null,null,2020-12-09,2.0,null,null,null,경북일부지역2단계
2.5,2.0,null,2.0,2.0,2.0,2.0,null,2.5,2.0,null,2.0,2.0,2.0,null,null,null,null,2.0,2.0,null,"경남일부지역2단계
거제시2.5단계",null,2.0,null,5단계,2.5,2.0,null,null,2020-12-10,2.0,null,null,null,경북일부지역2단계
2.5,2.0,null,2.0,2.0,2.0,2.0,null,2.5,2.0,null,2.0,2.0,2.0,null,null,null,null,2.0,2.0,null,"경남일부지역2단계
거제시2.5단계",null,2.0,null,5단계,2.5,2.0,null,null,2020-12-11,2.0,null,null,null,경북일부지역2단계
2.5,2.0,null,2.0,2.0,2.0,2.0,null,2.5,2.0,null,2.0,2.0,2.0,null,null,null,null,2.0,2.0,null,"경남일부지역2단계
거제시2.5단계",null,2.0,null,5단계,2.5,2.0,null,null,2020-12-12,2.0,null,null,null,경북일부지역2단계
2.5,2.0,null,2.0,2.0,2.0,2.0,null,2.5,2.0,null,2.0,2.0,2.0,null,null,null,null,2.0,2.0,null,"경남일부지역2단계
거제시2.5단계",null,2.0,null,5단계,2.5,2.0,null,null,2020-12-13,2.0,null,null,null,경북일부지역2단계
2.5,2.0,null,2.0,2.0,2.0,2.0,null,2.5,2.0,null,2.0,2.0,2.0,null,null,null,null,2.0,2.0,null,"경남일부지역2단계
거제시2.5단계",null,2.0,null,5단계,2.5,2.0,null,null,2020-12-14,2.0,null,null,null,경북일부지역2단계
2.5,2.0,null,2.0,2.0,2.0,2.0,null,2.5,2.0,null,2.0,2.0,2.0,null,null,null,"강원일부지역 2단계
화천양구인제고성양양1.5단계",2.0,2.5,null,"경남일부지역2단계
거제시2.5단계",null,2.0,null,5단계,2.5,2.0,null,null,2020-12-15,2.0,null,null,null,경북일부지역2단계
2.5,2.0,null,2.0,2.0,2.0,2.0,null,2.5,2.0,null,2.0,2.0,2.0,null,null,null,"강원일부지역 2단계
화천양구인제고성양양1.5단계",2.0,2.5,null,"경남일부지역2단계
거제시2.5단계",null,2.0,null,5단계,2.5,2.0,null,null,2020-12-16,2.0,null,null,null,경북일부지역2단계
2.5,2.0,null,2.0,2.0,2.0,2.0,null,2.5,2.0,null,2.0,2.0,2.0,null,null,null,"강원일부지역 2단계
화천양구인제고성양양1.5단계",2.0,2.5,null,"경남일부지역2단계
거제시2.5단계",null,2.0,null,5단계,2.5,2.0,null,null,2020-12-17,2.0,null,null,null,경북일부지역2단계
2.5,2.0,null,2.0,2.0,2.0,2.0,null,2.5,2.0,null,2.0,2.0,2.0,null,null,null,"강원일부지역 2단계
화천양구인제고성양양1.5단계
정선철원강릉 2단계
평창 2단계",2.0,2.5,null,"경남일부지역2단계
거제시2.5단계",null,2.0,null,5단계,2.5,2.0,null,null,2020-12-18,2.0,null,null,null,경북일부지역2단계
2.5,2.0,null,2.0,2.0,2.0,2.0,null,2.5,2.0,null,2.0,2.0,2.0,null,null,null,"강원일부지역 2단계
화천양구인제고성양양1.5단계
정선철원강릉 2단계
평창 2단계",2.0,2.5,null,"경남일부지역2단계
거제시2.5단계",null,2.0,null,5단계,2.5,2.0,null,null,2020-12-19,2.0,null,null,null,경북일부지역2단계
2.5,2.0,null,2.0,2.0,2.0,2.0,null,2.5,2.0,null,2.0,2.0,2.0,null,null,null,"강원일부지역 2단계
화천양구인제고성양양1.5단계
정선철원강릉 2단계
평창 2단계
동해시2.5단계
춘천원주영월삼척 2단계",2.0,2.5,null,"경남일부지역2단계
거제시2.5단계",null,2.0,null,5단계,2.5,2.0,null,null,2020-12-20,2.0,null,null,null,경북일부지역2단계
2.5,2.0,null,2.0,2.0,2.0,2.0,null,2.5,2.0,null,2.0,2.0,2.0,null,null,null,"강원일부지역 2단계
화천양구인제고성양양1.5단계
정선철원강릉 2단계
평창 2단계
동해시2.5단계
춘천원주영월삼척 2단계",2.0,2.5,null,"경남일부지역2단계
거제시2.5단계",null,2.0,null,5단계,2.5,2.0,null,null,2020-12-21,2.0,null,null,null,경북일부지역2단계
2.5,2.0,null,2.0,2.0,2.0,2.0,null,2.5,2.0,null,2.0,2.0,2.0,null,null,null,"강원일부지역 2단계
화천양구인제고성양양1.5단계
정선철원강릉 2단계
평창 2단계
동해시2.5단계
춘천원주영월삼척 2단계",2.0,2.5,null,"경남일부지역2단계
거제시2.5단계",null,2.0,null,5단계,2.5,2.0,null,null,2020-12-22,2.0,null,null,null,경북일부지역2단계
